Sıra,Parite,Toplam İşlem Sayısı,Kazanma Oranı (%),Net Kâr / Zarar ($),Kasa Büyümesi (%),Bitiş Bakiyesi ($)
131,1000XECUSDT,224,29.464285714285715,-28.005682296349974,-28.005682296349974,971.9943177036488
132,DRIFTUSDT,248,31.85483870967742,-28.01498036224625,-28.01498036224625,971.9850196377532
133,ALLUSDT,187,30.481283422459892,-28.070504378435423,-28.070504378435423,971.9294956215616
134,ASRUSDT,222,28.37837837837838,-28.23538815083841,-28.23538815083841,971.7646118491612
135,ASTSUSDT,184,29.891304347826086,-28.30398712216675,-28.30398712216675,971.6960128778321
136,BXUSDT,119,30.252100840336134,-28.915055762450752,-28.915055762450752,971.084944237548
137,HFTUSDT,270,34.074074074074076,-29.575112339631165,-29.575112339631165,970.42488766037
138,AUSDT,205,35.12195121951219,-29.662045652710216,-29.662045652710216,970.3379543472892
139,HEIUSDT,316,34.49367088607595,-29.994517068881756,-29.994517068881756,970.005482931118
140,BATUSDT,241,32.365145228215766,-30.228983166488636,-30.228983166488636,969.7710168335111
141,CFXUSDT,241,30.70539419087137,-30.2835063831334,-30.2835063831334,969.7164936168666
142,HYPEUSDT,235,33.191489361702125,-30.294927277502435,-30.294927277502435,969.7050727224976
143,ARBUSDT,221,30.316742081447963,-30.564303196836086,-30.564303196836086,969.4356968031633
144,BNBUSDT,176,28.97727272727273,-30.56856492646888,-30.56856492646888,969.4314350735275
145,FLUXUSDT,197,35.025380710659896,-30.81877808320789,-30.81877808320789,969.1812219167913
146,0GUSDT,264,34.090909090909086,-30.917562183953834,-30.917562183953834,969.0824378160457
147,CARVUSDT,212,29.71698113207547,-31.27177675083641,-31.27177675083641,968.7282232491629
148,HOMEUSDT,293,37.54266211604095,-31.271813491896424,-31.271813491896424,968.7281865081037
149,DOLOUSDT,246,29.67479674796748,-31.50518215211859,-31.50518215211859,968.494817847881
150,GASUSDT,215,29.767441860465116,-31.55957046589481,-31.55957046589481,968.4404295341038
151,AAOIUSDT,182,34.065934065934066,-31.621019748940103,-31.621019748940103,968.3789802510588
152,BABYUSDT,250,30.8,-32.56173408360037,-32.56173408360037,967.4382659163991
153,BCHUSDT,205,33.65853658536586,-32.642004379762454,-32.642004379762454,967.3579956202373
154,AXSUSDT,215,30.697674418604652,-32.71716616018917,-32.71716616018917,967.2828338398097
155,DOTUSDT,203,30.049261083743843,-32.77702619780563,-32.77702619780563,967.2229738021945
156,ANTHROPICUSDT,125,31.2,-32.82382332654211,-32.82382332654211,967.1761766734554
157,AUCTIONUSDT,166,30.72289156626506,-33.0066445801895,-33.0066445801895,966.9933554198085
158,1000SATSUSDT,256,29.6875,-33.16708228277912,-33.16708228277912,966.8329177172199
159,CVXUSDT,223,30.04484304932735,-33.27746848412891,-33.27746848412891,966.7225315158706
160,INITUSDT,240,32.5,-33.28722279786813,-33.28722279786813,966.7127772021308
161,ESPUSDT,240,35.833333333333336,-33.37971238688719,-33.37971238688719,966.6202876131127
162,GRIFFAINUSDT,238,31.932773109243694,-33.389669646918385,-33.389669646918385,966.6103303530815
163,CHZUSDT,227,35.24229074889868,-34.04936506546246,-34.04936506546246,965.9506349345371
164,AIOUSDT,238,34.03361344537815,-34.1995776879237,-34.1995776879237,965.8004223120752
165,ALTUSDT,214,32.71028037383177,-34.47462161589853,-34.47462161589853,965.5253783841002
166,HIVEUSDT,196,29.591836734693878,-34.52214052636835,-34.52214052636835,965.4778594736307
167,ACXUSDT,198,33.33333333333333,-34.78604605106265,-34.78604605106265,965.2139539489355
168,INTCUSDT,182,32.967032967032964,-35.25497272967921,-35.25497272967921,964.745027270321
169,BANDUSDT,203,27.586206896551722,-35.26118436417984,-35.26118436417984,964.7388156358196
170,EOSUSDT,223,30.94170403587444,-35.411211360101724,-35.411211360101724,964.5887886398975
171,COINUSDT,159,30.81761006289308,-35.56008304325774,-35.56008304325774,964.439916956741
172,FLNCUSDT,227,35.24229074889868,-35.86958745837369,-35.86958745837369,964.1304125416251
173,GMXUSDT,250,31.2,-36.00802009196968,-36.00802009196968,963.9919799080295
174,APEUSDT,270,33.7037037037037,-36.2665788039303,-36.2665788039303,963.7334211960707
175,AMATUSDT,171,29.82456140350877,-36.33474591753908,-36.33474591753908,963.6652540824604
176,AIGENSYNUSDT,229,31.004366812227076,-36.45605991772784,-36.45605991772784,963.5439400822726
177,1000000MOGUSDT,215,30.23255813953488,-37.44460305164821,-37.44460305164821,962.5553969483504
178,1000PEPEUSDT,180,29.444444444444446,-37.57581691311962,-37.57581691311962,962.4241830868806
179,CRVUSDT,229,29.694323144104807,-37.791242171024216,-37.791242171024216,962.2087578289744
180,INUSDT,234,32.47863247863248,-38.19121930679467,-38.19121930679467,961.8087806932041
