Trade_ID,Symbol,Side,Entry_Time_UTC,Entry_Unix_ms,Entry_Unix_sec,Exit_Time_UTC,Exit_Unix_ms,Exit_Unix_sec,Entry_Price,Lowest_100_Price,ATR_14,Stop_Loss_Price,Take_Profit_Price,Exit_Price,Position_Size_USDT,Risk_USDT,Target_Reward_USDT,Result,PnL_USDT,PnL_Percent,Holding_Bars
11,TACUSDT,LONG,2026-06-29 00:00:00 UTC,1782691200000,1782691200,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02211,0.02019,0.00047,0.01925,0.02784,0.02784,50.0,6.48,12.95,WIN,12.95,25.9,8
12,TACUSDT,LONG,2026-06-29 01:00:00 UTC,1782694800000,1782694800,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.0221,0.02019,0.00045,0.01928,0.02774,0.02774,50.0,6.37,12.75,WIN,12.75,25.5,7
13,TACUSDT,LONG,2026-06-29 02:00:00 UTC,1782698400000,1782698400,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02214,0.02019,0.00044,0.01931,0.02781,0.02781,50.0,6.39,12.79,WIN,12.79,25.58,6
14,TACUSDT,LONG,2026-06-29 03:00:00 UTC,1782702000000,1782702000,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02213,0.02019,0.00043,0.01934,0.02772,0.02772,50.0,6.31,12.62,WIN,12.62,25.24,5
15,TACUSDT,LONG,2026-06-29 04:00:00 UTC,1782705600000,1782705600,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02203,0.02019,0.00041,0.01937,0.02734,0.02734,50.0,6.03,12.07,WIN,12.07,24.13,4
16,TACUSDT,LONG,2026-06-29 05:00:00 UTC,1782709200000,1782709200,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02215,0.02019,0.00041,0.01938,0.0277,0.0277,50.0,6.26,12.53,WIN,12.53,25.05,3
17,TACUSDT,LONG,2026-06-29 06:00:00 UTC,1782712800000,1782712800,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02201,0.02019,0.0004,0.0194,0.02725,0.02725,50.0,5.95,11.89,WIN,11.89,23.79,2
18,TACUSDT,LONG,2026-06-29 07:00:00 UTC,1782716400000,1782716400,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02184,0.02019,0.00039,0.01941,0.02668,0.02668,50.0,5.54,11.08,WIN,11.08,22.17,1
19,TACUSDT,LONG,2026-06-29 08:00:00 UTC,1782720000000,1782720000,2026-06-29 22:59:59 UTC,1782773999999,1782773999,0.03395,0.02019,0.00126,0.01767,0.06651,0.06651,50.0,23.98,47.95,WIN,47.95,95.91,15
20,TACUSDT,LONG,2026-06-29 09:00:00 UTC,1782723600000,1782723600,2026-07-07 15:59:59 UTC,1783439999999,1783439999,0.0453,0.02019,0.00206,0.01607,0.10375,0.01607,50.0,32.26,64.52,LOSS,-32.26,-64.52,199
