trade_id,target,pnl_usdt,risk_usdt,reward_usdt,trend_100b_pct,trend_50b_pct,trend_20b_pct,stoch_pos_pct,norm_atr_pct,volatility_range_pct,volume_ratio,entry_hour,dist_to_100low_pct,last_bar_body_ratio,last_bar_is_bullish
1,0,-0.9920538397258992,0.9920538397258992,1.9841076794517984,-4.68391745823781,-2.6755852842809436,-2.773137320414306,7.142857142857108,0.6655933586262452,9.140893470790385,0.9481856154124209,7,0.65292096219931,0.5769230769230789,0
2,0,-0.8585063689285987,0.8585063689285987,1.7170127378571973,-4.913200131018669,-3.4264803725881503,-2.6818638954073006,4.135338345864718,0.6689819030429964,9.166092350103384,1.1098094662671325,7,0.37904893177119775,0.3499999999999805,0
3,0,-1.117003808727437,1.117003808727437,2.234007617454874,-5.021193348549073,-3.734302709847993,-2.116935483870972,8.921933085501909,0.7049158966395229,9.237637362637367,1.213296427695669,7,0.8241758241758292,0.31428571428570756,1
4,0,-1.0411008101588166,1.0411008101588166,2.0822016203176332,-5.2768729641693755,-3.6128604574080265,-2.514247401944351,7.434944237918232,0.6972218555508387,9.250343878954613,1.1643295598210792,8,0.6877579092159578,0.23529411764706934,0
5,0,-0.9564284490313092,0.9564284490313092,1.9128568980626184,-5.194380921267555,-3.620059780803711,-2.5193147463889813,5.204460966542794,0.7152154924496384,9.269469331495525,1.2600634836254603,8,0.4824259131633399,0.22222222222221866,0
6,1,1.5028798806962285,0.7514399403481142,1.5028798806962285,-5.400981996726671,-4.209479615512096,-2.9875797247398346,0.7380073800737387,0.7168139015669537,9.38365650969529,1.3160484377392732,8,0.06925207756232105,0.5999999999999913,0
7,0,-0.8375830152250047,0.8375830152250047,1.6751660304500093,-5.52287581699346,-4.14456233421751,-3.0841434797184064,2.930402930402999,0.6992704287796313,9.439834024896273,1.3810065414126362,8,0.2766251728907398,0.21428571428570986,1
8,1,1.7485600516968334,0.8742800258484167,1.7485600516968334,-7.05045278137129,-4.549983394221188,-3.7508372404554633,2.758620689655091,0.7351495910658132,10.086956521739127,1.4565009828498552,9,0.27826086956520907,0.5454545454545586,0
9,0,-1.003874403920762,1.003874403920762,2.007748807841524,-6.278464541314249,-4.728835978835989,-3.1271015467384062,5.460750853242448,0.7260966261429758,10.173611111111121,1.5065989962871,9,0.555555555555569,0.3333333333333253,1
10,0,-1.3064021323239048,1.3064021323239048,2.6128042646478096,-6.03112840466926,-3.8487060384870673,-2.914572864321603,11.26279863481229,0.7368474205531098,10.11391094235417,1.536419644778084,9,1.1391094235415964,0.666666666666656,1
11,0,-1.3677650737541462,1.3677650737541462,2.7355301475082925,-6.417284746855851,-3.7159920371599244,-2.5193147463889813,12.627986348122903,0.7300539396624479,10.099965529127896,1.3176365742460339,9,1.27542226818339,0.2631578947368553,1
