Sıra,Parite,Toplam İşlem Sayısı,Kazanma Oranı (%),Net Kâr / Zarar ($),Kasa Büyümesi (%),Bitiş Bakiyesi ($)
55,NEARUSDT,15,53.333333333333336,9.765672844606161,9.765672844606161,109.76567284460619
56,AEROUSDT,24,33.33333333333333,9.724006813534261,9.724006813534261,109.7240068135343
57,GRASSUSDT,12,33.33333333333333,9.676398026653093,9.676398026653093,109.67639802665309
58,CROSSUSDT,12,41.66666666666667,9.3734758398111,9.3734758398111,109.3734758398111
59,MANAUSDT,9,44.44444444444444,9.242999829078363,9.242999829078363,109.24299982907834
60,VANAUSDT,13,38.46153846153847,9.149439299203356,9.149439299203356,109.14943929920335
61,MRVLUSDT,36,44.44444444444444,8.99305619637621,8.99305619637621,108.99305619637624
62,STGUSDT,19,26.31578947368421,8.92471878681026,8.92471878681026,108.92471878681026
63,JUPUSDT,19,42.10526315789473,8.20888322782818,8.20888322782818,108.20888322782821
64,CLANKERUSDT,13,38.46153846153847,8.054227339438969,8.054227339438969,108.05422733943897
65,POLUSDT,13,46.15384615384615,7.864755037721616,7.864755037721616,107.86475503772162
66,SPKUSDT,20,50.0,7.816811416329746,7.816811416329746,107.81681141632974
67,NBISUSDT,38,34.21052631578947,7.80948193498097,7.80948193498097,107.80948193498092
68,SQQQUSDT,20,45.0,7.773814334889238,7.773814334889238,107.77381433488922
69,ACTUSDT,10,50.0,7.413825947499875,7.413825947499875,107.41382594749987
70,TSTUSDT,10,50.0,7.323860788485499,7.323860788485499,107.32386078848549
71,TRUSTUSDT,11,45.45454545454545,7.3063429406813425,7.3063429406813425,107.30634294068135
72,TIAUSDT,10,50.0,7.252864469558983,7.252864469558983,107.25286446955899
73,WLDUSDT,15,33.33333333333333,7.24512387205525,7.24512387205525,107.24512387205525
74,BELUSDT,14,50.0,7.231128935618278,7.231128935618278,107.23112893561827
75,SNDKUSDT,50,38.0,7.197081473144121,7.197081473144121,107.19708147314415
76,FUSDT,6,66.66666666666666,7.191601450340323,7.191601450340323,107.19160145034031
77,LAUSDT,15,53.333333333333336,7.098262947090832,7.098262947090832,107.09826294709084
78,TAOUSDT,6,50.0,6.7959406013723465,6.7959406013723465,106.79594060137235
79,ARBUSDT,12,58.333333333333336,6.6678073170650904,6.6678073170650904,106.66780731706508
80,JOEUSDT,9,44.44444444444444,6.652696292307548,6.652696292307548,106.65269629230755
81,PEOPLEUSDT,16,43.75,6.526366668991208,6.526366668991208,106.5263666689912
82,ZROUSDT,23,39.130434782608695,6.435456167074503,6.435456167074503,106.4354561670745
83,DEEPUSDT,16,43.75,6.43173037979651,6.43173037979651,106.4317303797965
84,ALABUSDT,20,45.0,6.416495788979838,6.416495788979838,106.4164957889798
85,ESPUSDT,37,29.72972972972973,6.39984907438345,6.39984907438345,106.39984907438345
86,FRONTUSDT,10,40.0,6.386247106294348,6.386247106294348,106.38624710629435
87,POWRUSDT,12,50.0,6.2397048321987745,6.2397048321987745,106.2397048321988
88,NILUSDT,11,27.27272727272727,6.232237470090472,6.232237470090472,106.2322374700905
89,ARXUSDT,10,50.0,6.118107084849579,6.118107084849579,106.11810708484957
90,AMATUSDT,33,45.45454545454545,5.976929114422989,5.976929114422989,105.97692911442302
91,COHRUSDT,46,39.130434782608695,5.852051801079986,5.852051801079986,105.85205180107997
92,FILUSDT,7,71.42857142857143,5.83496837671121,5.83496837671121,105.83496837671122
93,VANRYUSDT,20,40.0,5.75290471335485,5.75290471335485,105.75290471335481
